Depth,Measure,GBD,Gamma,Relative dose difference
177,37.46,37.86,0.13,1.07
178,37.18,37.59,0.14,1.1
179,36.9,37.4,0.2,1.36
180,36.69,37.12,0.16,1.17
181,36.49,36.87,0.12,1.04
182,36.21,36.69,0.19,1.33
183,36.01,36.43,0.15,1.17
184,35.78,36.19,0.15,1.15
185,35.58,35.99,0.14,1.15
186,35.33,35.7,0.12,1.05
187,35.11,35.6,0.2,1.4
188,34.86,35.31,0.18,1.29
189,34.68,35.11,0.16,1.24
190,34.43,34.8,0.12,1.07
191,34.2,34.6,0.14,1.17
192,33.96,34.4,0.18,1.3
193,33.82,34.21,0.14,1.15
194,33.54,33.91,0.13,1.1
195,33.35,33.78,0.16,1.29
196,33.15,33.51,0.12,1.09
197,32.97,33.3,0.1,1
198,32.72,33.2,0.21,1.47
199,32.48,32.91,0.18,1.32
200,32.24,32.7,0.2,1.43
201,32.19,32.51,0.1,0.99
202,31.95,32.32,0.12,1.16
203,31.77,32.02,0.05,0.79
204,31.46,31.82,0.13,1.14
205,31.24,31.72,0.22,1.54
206,31.09,31.52,0.18,1.38
207,30.98,31.32,0.12,1.1
208,30.69,31.12,0.18,1.4
209,30.57,30.82,0.05,0.82
210,30.36,30.72,0.13,1.19
211,30.11,30.52,0.17,1.36
212,30.08,30.32,0.05,0.8
213,29.79,30.12,0.11,1.11
214,29.62,29.92,0.09,1.01
215,29.41,29.72,0.11,1.05
216,29.2,29.62,0.19,1.44
217,29.08,29.43,0.13,1.2
218,28.79,29.16,0.16,1.29
219,28.64,29.05,0.18,1.43
220,28.51,28.94,0.19,1.51
221,28.32,28.72,0.18,1.41
222,28.12,28.54,0.19,1.49
223,27.96,28.34,0.16,1.36
224,27.78,28.13,0.15,1.26
225,27.62,28.04,0.19,1.52
226,27.42,27.84,0.2,1.53
227,27.25,27.63,0.17,1.39
228,27.05,27.55,0.24,1.85
229,26.87,27.23,0.16,1.34
230,26.8,27.14,0.14,1.27
231,26.59,26.93,0.14,1.28
232,26.43,26.75,0.12,1.21
233,26.22,26.55,0.14,1.26
234,26.14,26.44,0.11,1.15
235,25.98,26.34,0.16,1.39
236,25.86,26.16,0.11,1.16
237,25.63,26.02,0.17,1.52
238,25.43,25.74,0.12,1.22
239,25.27,25.66,0.19,1.54
240,25.11,25.57,0.23,1.83
241,24.98,25.34,0.17,1.44
242,24.85,25.19,0.15,1.37
243,24.66,25.07,0.2,1.66
244,24.44,24.86,0.21,1.72
245,24.33,24.65,0.13,1.32
246,24.2,24.55,0.17,1.45
247,24.02,24.47,0.23,1.87
248,23.91,24.25,0.15,1.42
249,23.77,24.16,0.19,1.64
250,23.62,23.94,0.13,1.35
251,23.51,23.79,0.11,1.19
252,23.36,23.67,0.13,1.33
253,23.2,23.52,0.14,1.38
254,22.99,23.36,0.19,1.61
255,22.89,23.28,0.2,1.7
256,22.7,23.19,0.27,2.16
257,22.59,22.97,0.19,1.68
258,22.45,22.89,0.24,1.96
259,22.33,22.71,0.19,1.7
260,22.18,22.56,0.2,1.71
261,22.05,22.44,0.2,1.77
262,21.91,22.28,0.19,1.69
263,21.8,22.19,0.2,1.79
264,21.64,22.01,0.19,1.71
265,21.52,21.88,0.18,1.67
266,21.37,21.72,0.18,1.64
267,21.26,21.61,0.18,1.65
268,21.13,21.52,0.2,1.85
269,21.02,21.3,0.12,1.33
270,20.87,21.21,0.17,1.63
271,20.79,21.14,0.18,1.68
272,20.64,21.01,0.19,1.79
273,20.52,20.81,0.13,1.41
274,20.35,20.71,0.19,1.77
275,20.21,20.59,0.21,1.88
276,20.04,20.5,0.26,2.3
277,19.96,20.31,0.18,1.75
278,19.87,20.21,0.18,1.71
279,19.7,20.11,0.23,2.08
280,19.63,19.99,0.19,1.83
281,19.5,19.9,0.22,2.05
282,19.4,19.71,0.15,1.6
283,19.32,19.59,0.13,1.4
284,19.21,19.52,0.15,1.61
285,19.08,19.39,0.15,1.62
286,18.92,19.21,0.14,1.53
287,18.8,19.2,0.22,2.13
288,18.66,19.01,0.19,1.88
289,18.56,18.88,0.17,1.72
290,18.49,18.89,0.22,2.16
291,18.39,18.7,0.16,1.69
292,18.25,18.6,0.18,1.92
293,18.16,18.41,0.11,1.38
294,18.06,18.31,0.11,1.38
295,17.94,18.21,0.13,1.51
296,17.84,18.11,0.13,1.51
297,17.74,18,0.13,1.47
298,17.63,17.91,0.14,1.59
299,17.47,17.81,0.19,1.95
300,17.41,17.71,0.16,1.72
