Crossline,Measure,GBD,Gamma,Relative dose difference,average,,,,,,,
-11,99.21,99.2,0.02,0.000100796,,,,,1,,,
-10,99.37,99.4,0.01,0.000301902,,,,,1,,,
-9,99.53,99.4,0.02,0.001306139,,,,,1,,,
-8,99.53,99.5,0.14,0.000301417,,,,,1,,,
-7,99.71,99.6,0.04,0.001103199,,,,,1,,,
-6,99.68,99.8,0.11,0.001203852,,,,,1,,,
-5,99.78,99.8,0.1,0.000200441,,,,,1,,,
-4,99.85,99.8,0.01,0.000500751,,,,,1,,,
-3,99.83,100,0.05,0.001702895,,,,,1,,,
-2,99.86,100,0.16,0.001401963,,,,,1,,,
-1,99.92,100,0.12,0.000800641,,,,,1,,,
0,99.99,100,0.07,0.00010001,,,,,1,,,
1,99.94,100,0,0.00060036,,,,,1,,,
2,99.87,100,0.05,0.001301692,,,,,1,,,
3,99.87,100,0.12,0.001301692,,,,,1,,,
4,99.78,99.8,0.1,0.000200441,,,,,1,,,
5,99.85,99.8,0.01,0.000500751,,,,,1,,,
6,99.75,99.8,0.06,0.000501253,,,,,1,,,
7,99.65,99.6,0.03,0.000501756,,,,,1,,,
8,99.51,99.5,0.06,0.000100492,,,,,1,,,
9,99.47,99.4,0.03,0.00070373,,,,,1,,,
10,99.34,99.4,0.09,0.000603986,,,,,1,,,
11,99.25,99.2,0.04,0.000503778,,,,,1,,,
12,99.04,99,0.07,0.000403877,,,,,1,,,
13,98.92,99,0.05,0.000808734,,,,,1,,,
14,98.79,98.8,0.06,0.000101225,,,,,1,,,
15,98.63,98.6,0.01,0.000304167,,,,,1,,,
16,98.34,98.5,0.05,0.001627008,,,,,1,,,
17,98.26,98.2,0.12,0.000610625,,,,,1,,,
18,98.02,98,0.08,0.00020404,,,,,1,,,
19,97.82,97.8,0.04,0.000204457,,,,,1,,,
20,97.55,97.6,0.04,0.000512558,,,,,1,,,
21,97.3,97.3,0.02,0,,,,,1,,,
22,97,97.1,0.02,0.001030928,,,,,1,,,
23,96.79,96.9,0.08,0.001136481,,,,,1,,,
24,96.52,96.5,0.07,0.000207211,,,,,1,,,
25,96.06,96.3,0.04,0.002498438,,,,,1,,,
26,95.82,96,0.21,0.001878522,,,,,1,,,
27,95.58,95.7,0.15,0.001255493,,,,,1,,,
28,95.21,95.3,0.09,0.000945279,,,,,1,,,
29,94.96,95,0.06,0.00042123,,,,,1,,,
30,94.48,94.7,0.02,0.002328535,,,,,1,,,
31,94.06,94.2,0.16,0.001488412,,,,,1,,,
32,93.73,93.8,0.1,0.000746826,,,,,1,,,
33,93.21,93.4,0.04,0.002038408,,,,,1,,,
34,92.86,93,0.15,0.001507646,,,,,1,,,
35,92.32,92.5,0.1,0.00194974,,,,,1,,,
36,91.78,91.9,0.12,0.001307474,,,,,1,,,
37,91.22,91.4,0.08,0.001973251,,,,,1,,,
38,90.54,90.7,0.11,0.001767175,,,,,1,,,
39,89.68,90,0.1,0.003568243,,,,,1,,,
40,88.75,89.1,0.2,0.003943662,,,,,1,,,
41,87.41,87.9,0.18,0.005605766,,,,,1,,,
42,85.41,86.3,0.21,0.010420325,,,,,1,,,
43,82.31,83.7,0.27,0.016887377,,,,,1,,,
44,77.32,79.4,0.26,0.02690119,,,,,1,,,
45,69.95,72.8,0.26,0.040743388,,,,,1,,,
46,60.39,63.9,0.27,0.058122206,,,,,1,,,
47,50.12,53.7,0.29,0.071428571,,,,,1,,,
48,39.51,43.2,0.29,0.093394077,,,,,1,,,
49,29.76,33.1,0.31,0.112231183,,,,,1,,,
50,21.6,24,0.31,0.111111111,,,,,1,,,
51,15.4,17.1,0.29,0.11038961,,,,,1,,,
52,11.53,12.6,0.32,0.092801388,,,,,1,,,
53,9.47,10.1,0.35,0.066525871,,,,,1,,,
54,8.19,8.7,0.33,0.062271062,,,,,1,,,
55,7.35,7.8,0.34,0.06122449,,,,,1,,,
56,6.7,7,0.32,0.044776119,,,,,1,,,
57,6.2,6.5,0.25,0.048387097,,,,,1,,,
58,5.78,6,0.24,0.038062284,,,,,1,,,
59,5.41,5.7,0.2,0.053604436,,,,,1,,,
60,5.11,5.4,0.26,0.056751468,,,,,1,,,
61,4.83,5.1,0.26,0.055900621,,,,,1,,,
62,4.58,4.8,0.25,0.048034934,,,,,1,,,
63,4.39,4.6,0.2,0.047835991,,,,,1,,,
64,4.19,4.4,0.2,0.050119332,,,,,1,,,
65,4.01,4.2,0.2,0.047381546,,,,,1,,,
66,3.84,4.1,0.19,0.067708333,,,,,1,,,
67,3.66,3.9,0.24,0.06557377,,,,,1,,,
68,3.54,3.8,0.23,0.073446328,,,,,1,,,
69,3.39,3.6,0.24,0.061946903,,,,,1,,,
70,3.27,3.5,0.21,0.070336391,,,,,1,,,
71,3.15,3.4,0.22,0.079365079,,,,,1,,,
72,3.04,3.3,0.25,0.085526316,,,,,1,,,
73,2.94,3.2,0.25,0.088435374,,,,,1,,,
74,2.84,3.1,0.25,0.091549296,,,,,1,,,
75,2.73,3,0.25,0.098901099,,,,,1,,,
76,2.63,2.9,0.27,0.102661597,,,,,1,,,
77,2.53,2.8,0.26,0.106719368,,,,,1,,,
78,2.49,2.7,0.26,0.084337349,,,,,1,,,
79,2.38,2.6,0.2,0.092436975,,,,,1,,,
80,2.34,2.5,0.22,0.068376068,,,,,1,,,
81,2.27,2.5,0.16,0.101321586,,,,,1,,,
82,2.19,2.4,0.23,0.095890411,,,,,1,,,
83,2.13,2.4,0.21,0.126760563,,,,,1,,,
84,2.08,2.3,0.26,0.105769231,,,,,1,,,
85,2.05,2.2,0.22,0.073170732,,,,,1,,,
86,1.97,2.2,0.15,0.116751269,,,,,1,,,
87,1.91,2.1,0.22,0.09947644,,,,,1,,,
88,1.83,2.1,0.19,0.147540984,,,,,1,,,
89,1.82,2,0.26,0.098901099,,,,,1,,,
90,1.74,2,0.18,0.149425287,,,,,1,,,
91,1.72,2,0.26,0.162790698,,,,,1,,,
92,1.69,1.9,0.27,0.124260355,,,,,1,,,
93,1.64,1.9,0.21,0.158536585,,,,,1,,,
94,1.58,1.8,0.26,0.139240506,,,,,1,,,
95,1.58,1.8,0.22,0.139240506,,,,,1,,,
96,1.53,1.7,0.21,0.111111111,,,,,1,,,
97,1.48,1.7,0.17,0.148648649,,,,,1,,,
98,1.46,1.7,0.22,0.164383562,,,,,1,,,
99,1.41,1.6,0.23,0.134751773,,,,,1,,,
100,1.37,1.6,0.19,0.167883212,,,,,1,,,
101,1.36,1.6,0.23,0.176470588,,,,,1,,,
102,1.3,1.5,0.24,0.153846154,,,,,1,,,
103,1.28,1.5,0.2,0.171875,,,,,1,,,
104,1.23,1.5,0.22,0.219512195,,,,,1,,,
105,1.21,1.4,0.27,0.157024793,,,,,1,,,
106,1.21,1.4,0.19,0.157024793,,,,,1,,,
107,1.16,1.4,0.19,0.206896552,,,,,1,,,
108,1.13,1.4,0.24,0.238938053,,,,,1,,,
109,1.1,1.3,0.26,0.181818182,,,,,1,,,
110,1.1,1.3,0.2,0.181818182,,,,,1,,,
111,1.08,1.3,0.2,0.203703704,,,,,1,,,
112,1.04,1.3,0.22,0.25,,,,,1,,,
113,1.02,1.2,0.25,0.176470588,,,,,1,,,
114,1.03,1.2,0.18,0.165048544,,,,,1,,,
115,0.98,1.2,0.17,0.224489796,,,,,1,,,
116,0.99,1.2,0.22,0.212121212,,,,,1,,,
